id,rarity,slot,name,skills
1,5,1,Antidote Jewel 1,"[{'id': 1, 'level': 1, 'modifiers': {}, 'description': 'Reduces the number of times you take poison damage.', 'skill': 1, 'skillName': 'Poison Resistance'}]"
2,5,1,Geology Jewel 1,"[{'id': 264, 'level': 1, 'modifiers': {}, 'description': 'Allows you to gather one extra time from bonepiles.', 'skill': 87, 'skillName': 'Geologist'}]"
3,5,1,Heavy Artillery Jewel 1,"[{'id': 193, 'level': 1, 'modifiers': {}, 'description': 'Firepower +50%', 'skill': 62, 'skillName': 'Heavy Artillery'}]"
4,5,1,Hungerless Jewel 1,"[{'id': 207, 'level': 1, 'modifiers': {}, 'description': 'Extends the time until your stamina cap decreases by 50%.', 'skill': 67, 'skillName': 'Hunger Resistance'}]"
5,5,1,Satiated Jewel 1,"[{'id': 234, 'level': 1, 'modifiers': {}, 'description': 'Activates 25% of the time.', 'skill': 74, 'skillName': 'Free Meal'}]"
6,5,1,Protection Jewel 1,"[{'id': 252, 'level': 1, 'modifiers': {}, 'description': 'While active, reduces damage taken by 15%.', 'skill': 84, 'skillName': 'Divine Blessing'}]"
7,5,1,Meowster Jewel 1,"[{'id': 255, 'level': 1, 'modifiers': {}, 'description': 'Increases Palico attack power and defense by 5%.', 'skill': 85, 'skillName': 'Palico Rally'}]"
8,5,1,Botany Jewel 1,"[{'id': 260, 'level': 1, 'modifiers': {}, 'description': 'One extra consumable herb item per gather.', 'skill': 86, 'skillName': 'Botanist'}]"
9,5,1,Tip Toe Jewel 1,"[{'id': 273, 'level': 1, 'modifiers': {}, 'description': 'Makes it slightly easier for monsters to lose sight of you.', 'skill': 90, 'skillName': 'Stealth'}]"
10,5,2,Flight Jewel 2,"[{'id': 160, 'level': 1, 'modifiers': {}, 'description': 'Jumping attack power +30%', 'skill': 50, 'skillName': 'Airborne'}]"
11,5,1,Smoke Jewel 1,"[{'id': 282, 'level': 1, 'modifiers': {}, 'description': 'Interactables restore an additional 50 health.', 'skill': 95, 'skillName': 'Survival Expert'}]"
12,5,1,Mirewalker Jewel 1,"[{'id': 285, 'level': 1, 'modifiers': {}, 'description': 'Prevents lowered movement speed.', 'skill': 96, 'skillName': 'Aquatic/Polar Mobility'}]"
13,5,1,Specimen Jewel 1,"[{'id': 291, 'level': 1, 'modifiers': {}, 'description': 'Increases the chances of a corpse being left behind.', 'skill': 100, 'skillName': 'Entomologist'}]"
14,5,1,Miasma Jewel 1,"[{'id': 294, 'level': 1, 'modifiers': {}, 'description': 'Reduces effluvial buildup.', 'skill': 101, 'skillName': 'Effluvia Resistance'}]"
15,5,1,Scent Jewel 1,"[{'id': 297, 'level': 1, 'modifiers': {}, 'description': 'Increases gauge fill rate by 50%.', 'skill': 102, 'skillName': 'Scenthound'}]"
16,5,1,Intimidator Jewel 1,"[{'id': 305, 'level': 1, 'modifiers': {}, 'description': ""Discourages monsters from engaging you even if you've been spotted."", 'skill': 108, 'skillName': 'Intimidator'}]"
17,5,1,Crisis Jewel 1,"[{'id': 185, 'level': 1, 'modifiers': {}, 'description': 'While active, greatly improves evasion invulnerability time and reduces stamina depletion.', 'skill': 57, 'skillName': 'Resuscitate'}]"
18,5,1,Antipara Jewel 1,"[{'id': 4, 'level': 1, 'modifiers': {}, 'description': 'Reduces the duration of paralysis by 30%.', 'skill': 2, 'skillName': 'Paralysis Resistance'}]"
19,5,1,Fortitude Jewel 1,"[{'id': 179, 'level': 1, 'modifiers': {}, 'description': 'Increases attack by 10% and defense by 15% with each use.', 'skill': 55, 'skillName': 'Fortify'}]"
20,5,1,Water Res Jewel 1,"[{'id': 65, 'level': 1, 'modifiers': {'resistWater': 6}, 'description': 'Water resistance +6', 'skill': 21, 'skillName': 'Water Resistance'}]"
21,5,1,Suture Jewel 1,"[{'id': 17, 'level': 1, 'modifiers': {}, 'description': 'Reduces damage while bleeding.', 'skill': 7, 'skillName': 'Bleeding Resistance'}]"
22,5,1,Dragon Res Jewel 1,"[{'id': 74, 'level': 1, 'modifiers': {'resistDragon': 6}, 'description': 'Dragon resistance +6', 'skill': 24, 'skillName': 'Dragon Resistance'}]"
23,5,1,Fire Res Jewel 1,"[{'id': 62, 'level': 1, 'modifiers': {'resistFire': 6}, 'description': 'Fire resistance +6', 'skill': 20, 'skillName': 'Fire Resistance'}]"
24,5,1,Ice Res Jewel 1,"[{'id': 68, 'level': 1, 'modifiers': {'resistIce': 6}, 'description': 'Ice resistance +6', 'skill': 22, 'skillName': 'Ice Resistance'}]"
25,5,1,Def Lock Jewel 1,"[{'id': 20, 'level': 1, 'modifiers': {}, 'description': 'Reduces the duration of Defense Down by 50%.', 'skill': 8, 'skillName': 'Iron Skin'}]"
26,5,1,Thunder Res Jewel 1,"[{'id': 71, 'level': 1, 'modifiers': {'resistThunder': 6}, 'description': 'Thunder resistance +6', 'skill': 23, 'skillName': 'Thunder Resistance'}]"
27,5,1,Pep Jewel 1,"[{'id': 7, 'level': 1, 'modifiers': {}, 'description': 'Reduces the duration of sleep by 30%.', 'skill': 3, 'skillName': 'Sleep Resistance'}]"
