id,type,rarity,attack,elderseal,attributes,damageType,name,durability,slots,elements,crafting,assets,shelling,phial,boostType,specialAmmo,deviation,ammo,coatings
1,great-sword,1,"{'display': 384, 'raw': 80}",,{},sever,Buster Sword 1,"[{'red': 100, 'orange': 50, 'yellow': 50, 'green': 0, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 60, 'green': 0, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 70, 'green': 0, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 80, 'green': 0, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 80, 'green': 10, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 80, 'green': 20, 'blue': 0, 'white': 0, 'purple': 0}]",[],[],"{'craftable': True, 'previous': None, 'branches': [2], 'craftingMaterials': [{'quantity': 1, 'item': {'id': 116, 'rarity': 4, 'carryLimit': 99, 'value': 60, 'name': 'Iron Ore', 'description': 'Ore that can be smelted into metal and used for many different purposes.'}}], 'upgradeMaterials': []}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/83b9e1fa727ca6ba922b53a42626a167.26ad6221e21811da5278502fabfc138b33d622bc.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
2,great-sword,1,"{'display': 432, 'raw': 90}",,{},sever,Buster Sword 2,"[{'red': 70, 'orange': 70, 'yellow': 30, 'green': 30, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 70, 'yellow': 30, 'green': 40, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 70, 'yellow': 30, 'green': 50, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 70, 'yellow': 30, 'green': 60, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 70, 'yellow': 30, 'green': 70, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 70, 'yellow': 30, 'green': 80, 'blue': 0, 'white': 0, 'purple': 0}]",[],[],"{'craftable': False, 'previous': 1, 'branches': [3, 20, 33], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 2, 'item': {'id': 116, 'rarity': 4, 'carryLimit': 99, 'value': 60, 'name': 'Iron Ore', 'description': 'Ore that can be smelted into metal and used for many different purposes.'}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/83b9e1fa727ca6ba922b53a42626a167.26ad6221e21811da5278502fabfc138b33d622bc.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
3,great-sword,2,"{'display': 480, 'raw': 100}",,{},sever,Buster Sword 3,"[{'red': 60, 'orange': 70, 'yellow': 30, 'green': 40, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 70, 'yellow': 30, 'green': 50, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 70, 'yellow': 30, 'green': 60, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 70, 'yellow': 30, 'green': 70, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 70, 'yellow': 30, 'green': 80, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 70, 'yellow': 30, 'green': 90, 'blue': 0, 'white': 0, 'purple': 0}]",[],[],"{'craftable': False, 'previous': 2, 'branches': [4, 11], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 2, 'item': {'id': 121, 'rarity': 4, 'carryLimit': 99, 'value': 80, 'name': 'Earth Crystal', 'description': 'Crystallized microbes prized as an abrasive when forging weapons. Mainly found in the Wildspire Waste.'}}, {'quantity': 2, 'item': {'id': 117, 'rarity': 4, 'carryLimit': 99, 'value': 160, 'name': 'Machalite Ore', 'description': ""Ore that's more difficult to procure than Iron Ore. Produces fine metal.""}}, {'quantity': 5, 'item': {'id': 116, 'rarity': 4, 'carryLimit': 99, 'value': 60, 'name': 'Iron Ore', 'description': 'Ore that can be smelted into metal and used for many different purposes.'}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/83b9e1fa727ca6ba922b53a42626a167.26ad6221e21811da5278502fabfc138b33d622bc.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
4,great-sword,3,"{'display': 576, 'raw': 120}",,{},sever,Buster Blade 1,"[{'red': 70, 'orange': 50, 'yellow': 80, 'green': 50, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 50, 'yellow': 80, 'green': 60, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 50, 'yellow': 80, 'green': 70, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 50, 'yellow': 80, 'green': 80, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 50, 'yellow': 80, 'green': 90, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 70, 'orange': 50, 'yellow': 80, 'green': 100, 'blue': 0, 'white': 0, 'purple': 0}]",[],[],"{'craftable': False, 'previous': 3, 'branches': [5], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 2, 'item': {'id': 118, 'rarity': 4, 'carryLimit': 99, 'value': 480, 'name': 'Dragonite Ore', 'description': 'An ore that yields metal superior to that of Machalite. Invaluable for making durable armor.'}}, {'quantity': 5, 'item': {'id': 117, 'rarity': 4, 'carryLimit': 99, 'value': 160, 'name': 'Machalite Ore', 'description': ""Ore that's more difficult to procure than Iron Ore. Produces fine metal.""}}, {'quantity': 2, 'item': {'id': 148, 'rarity': 4, 'carryLimit': 99, 'value': 300, 'name': 'Monster Bone M', 'description': ""Bone obtained from large monsters. Strong yet flexible, it's as reliable as steel or wood.""}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/1710e0183141dbe3d2103dc3de4e0b11.cea79bf2c9acd356c2a14ced6995def0bba81d3d.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
5,great-sword,4,"{'display': 624, 'raw': 130}",,{},sever,Buster Blade 2,"[{'red': 60, 'orange': 50, 'yellow': 80, 'green': 60, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 50, 'yellow': 80, 'green': 70, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 50, 'yellow': 80, 'green': 80, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 50, 'yellow': 80, 'green': 90, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 50, 'yellow': 80, 'green': 100, 'blue': 0, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 50, 'yellow': 80, 'green': 110, 'blue': 0, 'white': 0, 'purple': 0}]",[],[],"{'craftable': False, 'previous': 4, 'branches': [6], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 2, 'item': {'id': 150, 'rarity': 4, 'carryLimit': 99, 'value': 500, 'name': 'Monster Bone+', 'description': 'Bone obtained from large monsters. Hard to obtain, but vital for crafting powerful equipment.'}}, {'quantity': 5, 'item': {'id': 118, 'rarity': 4, 'carryLimit': 99, 'value': 480, 'name': 'Dragonite Ore', 'description': 'An ore that yields metal superior to that of Machalite. Invaluable for making durable armor.'}}, {'quantity': 2, 'item': {'id': 122, 'rarity': 4, 'carryLimit': 99, 'value': 600, 'name': 'Coral Crystal - Rarity 4', 'description': 'Crystal prized at the Smithy for use in high-grade abrasives. Mainly found in the Coral Highlands.'}}, {'quantity': 10, 'item': {'id': 117, 'rarity': 4, 'carryLimit': 99, 'value': 160, 'name': 'Machalite Ore', 'description': ""Ore that's more difficult to procure than Iron Ore. Produces fine metal.""}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/9920045cd6c82fd2810eca2d4f498d80.a15b847b35db7c15eed0e223ec524f2127a8b188.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
6,great-sword,5,"{'display': 672, 'raw': 140}",,{},sever,Buster Blade 3,"[{'red': 100, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 20, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 30, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 40, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 50, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 60, 'white': 0, 'purple': 0}, {'red': 100, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 70, 'white': 0, 'purple': 0}]",[{'rank': 1}],"[{'type': 'poison', 'damage': 240, 'hidden': True}]","{'craftable': False, 'previous': 5, 'branches': [7], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 8, 'item': {'id': 119, 'rarity': 6, 'carryLimit': 99, 'value': 680, 'name': 'Carbalite Ore', 'description': 'Ore obtained from mining outcrops. Still under research, but known to yield highly pure metal.'}}, {'quantity': 5, 'item': {'id': 118, 'rarity': 4, 'carryLimit': 99, 'value': 480, 'name': 'Dragonite Ore', 'description': 'An ore that yields metal superior to that of Machalite. Invaluable for making durable armor.'}}, {'quantity': 2, 'item': {'id': 123, 'rarity': 6, 'carryLimit': 99, 'value': 800, 'name': 'Dragonvein Crystal', 'description': 'Mined from high rank areas. Many expect this newly-discovered crystal to usher in a new era of metalwork.'}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/223f24731ea26332ab926d0d05113813.cd4a853f70af923133e57475348aa0e0b594b808.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
7,great-sword,6,"{'display': 720, 'raw': 150}",,{},sever,Chrome Razor 1,"[{'red': 90, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 30, 'white': 0, 'purple': 0}, {'red': 90, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 40, 'white': 0, 'purple': 0}, {'red': 90, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 50, 'white': 0, 'purple': 0}, {'red': 90, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 60, 'white': 0, 'purple': 0}, {'red': 90, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 70, 'white': 0, 'purple': 0}, {'red': 90, 'orange': 50, 'yellow': 50, 'green': 80, 'blue': 80, 'white': 0, 'purple': 0}]",[{'rank': 1}],"[{'type': 'poison', 'damage': 330, 'hidden': True}]","{'craftable': False, 'previous': 6, 'branches': [8, 9], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 8, 'item': {'id': 120, 'rarity': 6, 'carryLimit': 99, 'value': 1020, 'name': 'Fucium Ore', 'description': ""Ore obtained from the Elder's Recess. A mysterious metal, capable of fusing nearly any two materials together.""}}, {'quantity': 5, 'item': {'id': 119, 'rarity': 6, 'carryLimit': 99, 'value': 680, 'name': 'Carbalite Ore', 'description': 'Ore obtained from mining outcrops. Still under research, but known to yield highly pure metal.'}}, {'quantity': 10, 'item': {'id': 118, 'rarity': 4, 'carryLimit': 99, 'value': 480, 'name': 'Dragonite Ore', 'description': 'An ore that yields metal superior to that of Machalite. Invaluable for making durable armor.'}}, {'quantity': 3, 'item': {'id': 123, 'rarity': 6, 'carryLimit': 99, 'value': 800, 'name': 'Dragonvein Crystal', 'description': 'Mined from high rank areas. Many expect this newly-discovered crystal to usher in a new era of metalwork.'}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/e2b396ec3f56dfa8cc5e82ad53a0b445.a527679a7128f54d5a65b612842bfa6d1ece9682.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
8,great-sword,6,"{'display': 864, 'raw': 180}",,{},sever,Chrome Razor 2,"[{'red': 60, 'orange': 60, 'yellow': 20, 'green': 150, 'blue': 60, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 60, 'yellow': 20, 'green': 150, 'blue': 70, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 60, 'yellow': 20, 'green': 150, 'blue': 80, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 60, 'yellow': 20, 'green': 150, 'blue': 90, 'white': 0, 'purple': 0}, {'red': 60, 'orange': 60, 'yellow': 20, 'green': 150, 'blue': 90, 'white': 10, 'purple': 0}, {'red': 60, 'orange': 60, 'yellow': 20, 'green': 150, 'blue': 90, 'white': 20, 'purple': 0}]","[{'rank': 1}, {'rank': 1}]","[{'type': 'poison', 'damage': 420, 'hidden': True}]","{'craftable': False, 'previous': 7, 'branches': [], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 2, 'item': {'id': 174, 'rarity': 7, 'carryLimit': 99, 'value': 1600, 'name': 'Elder Dragon Blood', 'description': 'Contains an unknown compound. The object of much scholarly research.'}}, {'quantity': 13, 'item': {'id': 120, 'rarity': 6, 'carryLimit': 99, 'value': 1020, 'name': 'Fucium Ore', 'description': ""Ore obtained from the Elder's Recess. A mysterious metal, capable of fusing nearly any two materials together.""}}, {'quantity': 20, 'item': {'id': 119, 'rarity': 6, 'carryLimit': 99, 'value': 680, 'name': 'Carbalite Ore', 'description': 'Ore obtained from mining outcrops. Still under research, but known to yield highly pure metal.'}}, {'quantity': 1, 'item': {'id': 126, 'rarity': 7, 'carryLimit': 99, 'value': 1720, 'name': 'Firecell Stone', 'description': 'A magma-like deposit that only trained hands can work with. Armor made from it is first-class.'}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/e2b396ec3f56dfa8cc5e82ad53a0b445.a527679a7128f54d5a65b612842bfa6d1ece9682.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/83f7ab6e7e5669ec416d772049b8b054e2624c2e.c7bad811e203c9bb55626e414659a4f7.png'}",,,,,,,
9,great-sword,7,"{'display': 912, 'raw': 190}",high,{},sever,Nergal Judicator,"[{'red': 120, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 70, 'white': 0, 'purple': 0}, {'red': 120, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 70, 'white': 0, 'purple': 0}, {'red': 120, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 70, 'white': 0, 'purple': 0}, {'red': 120, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 70, 'white': 0, 'purple': 0}, {'red': 120, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 70, 'white': 0, 'purple': 0}, {'red': 120, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 70, 'white': 0, 'purple': 0}]",[{'rank': 1}],"[{'type': 'dragon', 'damage': 120, 'hidden': False}]","{'craftable': False, 'previous': 7, 'branches': [10], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 3, 'item': {'id': 409, 'rarity': 7, 'carryLimit': 99, 'value': 4500, 'name': 'Nergigante Talon', 'description': 'Rare Nergigante material. Mostly obtained by carving. Sharp, used in many weapons.'}}, {'quantity': 4, 'item': {'id': 410, 'rarity': 7, 'carryLimit': 99, 'value': 3400, 'name': 'Nergigante Regrowth Plate', 'description': 'Rare Nergigante material. Obtained by collecting rare drops. Unusual, used to craft gear.'}}, {'quantity': 2, 'item': {'id': 407, 'rarity': 7, 'carryLimit': 99, 'value': 4300, 'name': 'Nergigante Tail', 'description': 'Rare Nergigante material. Obtained by carving its severed tail. Stiff, used to craft gear.'}}, {'quantity': 2, 'item': {'id': 406, 'rarity': 7, 'carryLimit': 99, 'value': 3200, 'name': 'Nergigante Carapace', 'description': 'Rare Nergigante material. Mostly obtained as a reward. Solid, used to craft gear.'}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/dfe1b8be199ad60c4d9b8f5a981f176e.3b127b9bb4fd3fb7b7200ca53d6f38860b3af97b.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/c133eb85ec0d6edbbce29cd61cf4d1e41aad777f.d35e6b8239f318a24cb146c9ff7f9452.png'}",,,,,,,
10,great-sword,8,"{'display': 1008, 'raw': 210}",high,{},sever,Purgation's Atrocity,"[{'red': 110, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 80, 'white': 0, 'purple': 0}, {'red': 110, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 80, 'white': 0, 'purple': 0}, {'red': 110, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 80, 'white': 0, 'purple': 0}, {'red': 110, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 80, 'white': 0, 'purple': 0}, {'red': 110, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 80, 'white': 0, 'purple': 0}, {'red': 110, 'orange': 120, 'yellow': 40, 'green': 50, 'blue': 80, 'white': 0, 'purple': 0}]",[{'rank': 1}],"[{'type': 'dragon', 'damage': 150, 'hidden': False}]","{'craftable': False, 'previous': 9, 'branches': [], 'craftingMaterials': [], 'upgradeMaterials': [{'quantity': 2, 'item': {'id': 440, 'rarity': 7, 'carryLimit': 99, 'value': 5600, 'name': ""Xeno'jiiva Horn"", 'description': ""A rare Xeno'jiiva horn. During growth, it's theorized that it helps control the beast's power.""}}, {'quantity': 5, 'item': {'id': 408, 'rarity': 7, 'carryLimit': 99, 'value': 5000, 'name': 'Nergigante Horn+', 'description': 'Rare Nergigante material. Obtained by breaking its horns. Stout, used in many weapons.'}}, {'quantity': 5, 'item': {'id': 409, 'rarity': 7, 'carryLimit': 99, 'value': 4500, 'name': 'Nergigante Talon', 'description': 'Rare Nergigante material. Mostly obtained by carving. Sharp, used in many weapons.'}}, {'quantity': 1, 'item': {'id': 411, 'rarity': 8, 'carryLimit': 99, 'value': 12000, 'name': 'Nergigante Gem', 'description': 'A rare gem said to have formed within Nergigante tissue. Holds untold potential.'}}]}","{'icon': 'https://assets.mhw-db.com/weapons/great-sword/icons/b75701cb2979341853698ca0dc81e67a.65f65ea83eb133f54337d4d835d3f4624ace6b85.png', 'image': 'https://assets.mhw-db.com/weapons/great-sword/00c3e8dfaff1e9aca7c04ae897da6e016c06e4ff.7a3b9903b61ff30d5d4d8fd6f7e9f3a6.png'}",,,,,,,
